Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2023-24","Spring","MSE","2014","Materials Eng Transition","Burgoyne","2.43","57.1","0","0","0","0","0","0","0","0","14.3","0","28.6","0","7","18180","  1"
"2023-24","Spring","HNFE","5394","Prof Pract Nutrition Dietetics","Larson-Meyer","3.91","71.4","28.6","0","0","0","0","0","0","0","0","0","0","0","7","16479","  1"
"2023-24","Spring","DASC","5004","Seminar","Winston","3.57","42.9","14.3","14.3","28.6","0","0","0","0","0","0","0","0","0","7","13701","  1"
"2023-24","Spring","GEOS","6704","TS: Electron Probe Analysis","Moore","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","21209","  1"
"2023-24","Spring","UAP","5424","TS:Transit Oriented Dev&Suburb","Zimmerman","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","20300","  1"
"2023-24","Spring","ARCH","3234","Top Modules Arch & Praxis","Gipe","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","11126","  1"
"2023-24","Spring","ENGE","2994","UR: Undergrad Rsrch - Gray UR","Gray","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","14888","  1"
"2023-24","Spring","NANO","4354","Advanced Nanomedicine Lab","Tian","3.71","50","25","12.5","12.5","0","0","0","0","0","0","0","0","0","8","18442","  1"
"2023-24","Spring","COS","3016","App Science Leadership","Rowell","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","13245","  1"
"2023-24","Spring","BIOL","3104","Cell Molecular Biol Laboratory","Voshell","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","11750","  1"
"2023-24","Spring","PHYS","2216","General Physics Laboratory","Merritt","3.3","37.5","37.5","12.5","0","0","0","0","0","0","0","0","12.5","0","8","18971","  1"
"2023-24","Spring","AT","0974","Independent Study","Kohl","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","11371","  1"
"2023-24","Spring","BIOL","2974","Independent Study","Hogan","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","11710","  1"
"2023-24","Spring","MUS","3314","Instrumental Ensemble Music","Bukvic","3.91","87.5","0","12.5","0","0","0","0","0","0","0","0","0","0","8","21714","  1"
"2023-24","Spring","MSE","3314","Materials Laboratory I","Burgoyne","3.34","0","37.5","25","37.5","0","0","0","0","0","0","0","0","0","8","18200","  1"
"2023-24","Spring","MSE","3314","Materials Laboratory I","Staley","3.34","0","37.5","25","37.5","0","0","0","0","0","0","0","0","0","8","18200","  1"
"2023-24","Spring","NANO","2814","NanoCareers","Michel","3.88","87.5","0","0","12.5","0","0","0","0","0","0","0","0","0","8","21660","  1"
"2023-24","Spring","NSEG","5944","Nuclear Eng Graduate Seminar","Haghighat","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","18664","  1"
"2023-24","Spring","COMM","3954","Study Abroad","Stinson","3.75","75","0","0","25","0","0","0","0","0","0","0","0","0","8","22305","  1"
"2023-24","Spring","COMM","3954","Study Abroad","Woolly","3.75","75","0","0","25","0","0","0","0","0","0","0","0","0","8","22305","  1"
"2023-24","Spring","BMES","4994","Undergraduate Research","Arena","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","11964","  1"
"2023-24","Spring","ENGE","1014","Engineering Success Seminar","Chin","2.78","44.4","0","11.1","0","11.1","0","11.1","0","0","11.1","0","11.1","0","9","14841","  1"
"2023-24","Spring","ENGE","1014","Engineering Success Seminar","Mullins","2.78","44.4","0","11.1","0","11.1","0","11.1","0","0","11.1","0","11.1","0","9","14841","  1"
